bin_uri,classification,total39864,total39865,total39866,total39867,total39868,total39869,total39870,total39871,total39872,total39873,total39874,total39875,total39876,total39877,total39878,total39879,total39880,total39881,total39882,total39883,ARM1A,ARM1B,ARM2A,ARM2B,ARM3A,ARM3B,ARM4A,ARM4B,BAL1A,BAL1B,DRA1A,DRA1B,WHE1A,WHE1B,WHE2A,WHE2B,ZET1A,ZET1B,ZET2A,ZET2B
BOLD:AAA0118,k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Depressariidae;s__Stenomatinae;g__Antaeotricha;s__Janzen99,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BOLD:AAA0138,k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Gelechiidae;s__;g__gelJanzen01;s__Janzen467,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOLD:AAA0139,k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Depressariidae;s__Stenomatinae;g__Antaeotricha;s__incrassataDHJ03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1
BOLD:AAA0160,k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Hesperiidae;s__;g__;s__,1,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
BOLD:AAA0168,k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Gelechiidae;s__;g__gelJanzen01;s__Janzen377,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOLD:AAA0169,k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Depressariidae;s__;g__elachJanzen01;s__Janzen726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
BOLD:AAA0194,k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Pterolonchidae;s__;g__Homaledra;s__Janzen633,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
BOLD:AAA0209,k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Depressariidae;s__Stenomatinae;g__Stenoma;s__Janzen99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOLD:AAA0211,k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Depressariidae;s__Stenomatinae;g__Chlamydastis;s__montywoodi,1,0,0,0,1,0,0,0,1,1,0,1,1,0,1,1,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
BOLD:AAA0214,k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Gelechiidae;s__Anomologinae;g__Aristotelia;s__Janzen257,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOLD:AAA0220,k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Depressariidae;s__Stenomatinae;g__Stenoma;s__Janzen44,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
BOLD:AAA0238,k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Depressariidae;s__Stenomatinae;g__Stenoma;s__Phillips543,1,1,1,1,1,0,1,1,0,1,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
BOLD:AAA0245,k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Depressariidae;s__Stenomatinae;g__Cerconota;s__impresellaEPR03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOLD:AAA0248,k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Depressariidae;s__Stenomatinae;g__Antaeotricha;s__Phillips21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOLD:AAA0256,k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Crambidae;s__Spilomelinae;g__Lamprosema;s__BioLep325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,1,1
BOLD:AAA0265,k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Crambidae;s__Crambinae;g__Microcramboides;s__BioLep414,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
BOLD:AAA0275,k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Crambidae;s__Spilomelinae;g__Herpetogramma;s__sp.2YB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,1,0,1,1,0
BOLD:AAA0286,k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Crambidae;s__Crambinae;g__cramBioLep01;s__BioLep661,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOLD:AAA0293,k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Gelechiidae;s__Olethreutinae;g__gelJanzen01;s__verutana,1,1,0,1,1,1,0,1,1,1,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOLD:AAA0297,k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Crambidae;s__Acentropinae;g__acentroBioLep01;s__BioLep702,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOLD:AAA0306,k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Pyralidae;s__Chrysauginae;g__chryBioLep01;s__BioLep554,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,0,1,1,1,0,1,1,0,0,1,1,1,0,0,0,1,1,0,1,0,0,1,1,1
BOLD:AAA0332,k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Crambidae;s__Spilomelinae;g__Apilocrocis;s__excelsalis,1,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOLD:AAA0336,k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Crambidae;s__Spilomelinae;g__Apogeshna;s__stenialisDHJ02,0,1,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0
BOLD:AAA0338,k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Crambidae;s__Spilomelinae;g__Blepharomastix;s__sp.1YB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
BOLD:AAA0347,k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Crambidae;s__Spilomelinae;g__Conchylodes;s__nolckenialis,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOLD:AAA0354,k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Crambidae;s__Spilomelinae;g__Omiodes;s__croceiceps,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BOLD:AAA0363,k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Crambidae;s__Spilomelinae;g__Palpita;s__venatalis,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOLD:AAA0368,k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Crambidae;s__Spilomelinae;g__Samea;s__ecclesialis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
BOLD:AAA0372,k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Crambidae;s__Spilomelinae;g__Omiodes;s__humeralis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
BOLD:AAA0378,k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Crambidae;s__Spilomelinae;g__Ategumia;s__dilecticolor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
BOLD:AAA0392,k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Crambidae;s__Spilomelinae;g__Samea;s__multiplicalis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
BOLD:AAA0404,k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Crambidae;s__Spilomelinae;g__Spilomela;s__discordens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
BOLD:AAA0408,k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Crambidae;s__Spilomelinae;g__Desmia;s__bajulalis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
BOLD:AAA0410,k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Crambidae;s__Spilomelinae;g__Syllepte;s__strigicincta,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOLD:AAA0412,k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Crambidae;s__Spilomelinae;g__Phostria;s__phillipsEPR01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
BOLD:AAA0413,k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Crambidae;s__Crambinae;g__Argyria;s__lacteella,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOLD:AAA0414,k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Crambidae;s__Spilomelinae;g__Pilocrocis;s__musalisDHJ02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BOLD:AAA0422,k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Crambidae;s__Spilomelinae;g__Desmia;s__benealisDHJ02,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOLD:AAA0424,k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Crambidae;s__Spilomelinae;g__Lamprosema;s__pelealis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
BOLD:AAA0430,k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Crambidae;s__Acentropinae;g__acentroBioLep01;s__BioLep705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOLD:AAA0437,k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Crambidae;s__Spilomelinae;g__Synclera;s__jarbusalis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BOLD:AAA0441,k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Crambidae;s__Spilomelinae;g__Desmia;s__ploralisDHJ02,0,0,0,1,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
BOLD:AAA0460,k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Crambidae;s__Spilomelinae;g__Prenesta;s__scyllalisDHJ01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
BOLD:AAA0466,k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Crambidae;s__Glaphyriinae;g__Lipocosma;s__sp.1YB,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
BOLD:AAA0468,k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Crambidae;s__Spilomelinae;g__Desmia;s__Janzen19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
BOLD:AAA0472,k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Crambidae;s__Acentropinae;g__Parapoynx;s__diminutalis,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
BOLD:AAA0473,k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Crambidae;s__Acentropinae;g__Parapoynx;s__fluctuosalis,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
BOLD:AAA0478,k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Crambidae;s__Spilomelinae;g__Dichocrocis;s__tlapalis,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOLD:AAA0488,k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Crambidae;s__Spilomelinae;g__Maracayia;s__sp.1YB,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
BOLD:AAA0501,k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Crambidae;s__Spilomelinae;g__Desmia;s__ploralisDHJ03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
BOLD:AAA0539,k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Crambidae;s__Spilomelinae;g__Diaphania;s__sp.1YB,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
BOLD:AAA0554,k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Crambidae;s__Spilomelinae;g__spiloBioLep01;s__BioLep577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOLD:AAA0559,k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Crambidae;s__Spilomelinae;g__Lamprosema;s__BioLep331,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,0,1,1,1,0
BOLD:AAA0561,k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Crambidae;s__Spilomelinae;g__Pantographa;s__expansalisDHJ01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
BOLD:AAA0570,k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Crambidae;s__Spilomelinae;g__Desmia;s__ploralisDHJ10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOLD:AAA0582,k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Crambidae;s__Spilomelinae;g__Diaphania;s__exclusalis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOLD:AAA0620,k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Pyralidae;s__Epipaschiinae;g__Incarcha;s__aporalisDHJ01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,1,0,0,0,0,0
BOLD:AAA0644,k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Gelechiidae;s__;g__elachBioLep01;s__BioLep464,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOLD:AAA0661,k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Geometridae;s__Ennominae;g__Herbita;s__lilacina,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOLD:AAA0677,k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Geometridae;s__Sterrhinae;g__Tricentra;s__Sullivan677,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOLD:AAA0688,k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Geometridae;s__Ennominae;g__Thyrinteina;s__arnobia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BOLD:AAA0730,k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Geometridae;s__Ennominae;g__Isochromodes;s__Janzen63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOLD:AAA0781,k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Erebidae;s__Catocalinae;g__Orsa;s__erythrospilaDHJ01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
BOLD:AAA0783,k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Geometridae;s__Geometrinae;g__Synchlora;s__gerularia,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,0,1,0,0,0,1,1,1,1,1,0,1,0,0,1,1,0,0,0,0,1,0
BOLD:AAA0818,k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Geometridae;s__Sterrhinae;g__Idaea;s__muscifasciata,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
BOLD:AAA0825,k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Geometridae;s__Ennominae;g__Eusarca;s__nemora,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
BOLD:AAA0831,k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Geometridae;s__Ennominae;g__Macaria;s__regulata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOLD:AAA0872,k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Geometridae;s__Sterrhinae;g__Hemipterodes;s__rotundata,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
BOLD:AAA0883,k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Gelechiidae;s__Thiotrichinae;g__Thiotricha;s__BioLep375,0,1,0,0,1,0,1,1,1,1,0,1,0,0,1,0,0,1,1,0,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,1,0,0,0,1
BOLD:AAA0889,k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Depressariidae;s__Stenomatinae;g__Stenoma;s__melanixaEPR01,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
BOLD:AAA0895,k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Erebidae;s__Arctiinae;g__Talara;s__sp.3YB,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,1,1,1,0,0,1,1,1,0,1,0,0,1,1
BOLD:AAA0902,k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Pyralidae;s__Phycitinae;g__Fundella;s__argentina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
BOLD:AAA0929,k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Pyralidae;s__Phycitinae;g__Phidotricha;s__erigens,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
BOLD:AAA0930,k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Depressariidae;s__;g__elachBioLep01;s__BioLep408,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOLD:AAA0931,k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Gelechiidae;s__Dichomeridinae;g__Dichomeris;s__costalisDHJ01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
