class,total39864,total39865,total39866,total39867,total39868,total39869,total39870,total39871,total39872,total39873,total39874,total39875,total39876,total39877,total39878,total39879,total39880,total39881,total39882,total39883,ARM1A,ARM1B,ARM2A,ARM2B,ARM3A,ARM3B,ARM4A,ARM4B,BAL1A,BAL1B,DRA1A,DRA1B,WHE1A,WHE1B,WHE2A,WHE2B,ZET1A,ZET1B,ZET2A,ZET2B
k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Crambidae;s__Spilomelinae;g__Conchylodes;s__nolckenialisBOLD:AAA0347,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Crambidae;s__Spilomelinae;g__Omiodes;s__croceicepsBOLD:AAA0354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Crambidae;s__Spilomelinae;g__Palpita;s__venatalisBOLD:AAA0363,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Crambidae;s__Spilomelinae;g__Samea;s__ecclesialisBOLD:AAA0368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Crambidae;s__Spilomelinae;g__Omiodes;s__humeralisBOLD:AAA0372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Crambidae;s__Spilomelinae;g__Ategumia;s__dilecticolorBOLD:AAA0378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Crambidae;s__Spilomelinae;g__Samea;s__multiplicalisBOLD:AAA0392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Crambidae;s__Spilomelinae;g__Spilomela;s__discordensBOLD:AAA0404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Crambidae;s__Spilomelinae;g__Desmia;s__bajulalisBOLD:AAA0408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Crambidae;s__Spilomelinae;g__Syllepte;s__strigicinctaBOLD:AAA0410,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
